name,filename,source,accession
ATF2,wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk.narrowPeak,ENCODE,GSE32465
ATF3,wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
BATF,wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk.narrowPeak,ENCODE,GSE32465
BCL11A,wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk.narrowPeak,ENCODE,GSE32465
BCL3,wgEncodeAwgTfbsHaibGm12878Bcl3V0416101UniPk.narrowPeak,ENCODE,GSE32465
BCLAF1,wgEncodeAwgTfbsHaibGm12878Bclaf101388V0416101UniPk.narrowPeak,ENCODE,GSE32465
BHLHE40,wgEncodeAwgTfbsSydhGm12878Bhlhe40cIggmusUniPk.narrowPeak,ENCODE,GSE31477
BRCA1,wgEncodeAwgTfbsSydhGm12878Brca1a300IggmusUniPk.narrowPeak,ENCODE,GSE31477
CEBPB,wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk.narrowPeak,ENCODE,GSE32465
CHD1,wgEncodeAwgTfbsSydhGm12878Chd1a301218aIggmusUniPk.narrowPeak,ENCODE,GSE31477
CHD2,wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk.narrowPeak,ENCODE,GSE31477
CREB1,wgEncodeHaibTfbsGm12878Creb1sc240V0422111PkRep1.broadPeak,ENCODE,GSE32465
CREB1,wgEncodeHaibTfbsGm12878Creb1sc240V0422111PkRep2.broadPeak,ENCODE,GSE32465
CTCF,wgEncodeAwgTfbsBroadGm12878CtcfUniPk.narrowPeak,ENCODE,GSE29611
CUX1,wgEncodeSydhTfbsGm12878Cdpsc6327IggmusPk.narrowPeak,ENCODE,GSE31477
DNase-seq,wgEncodeAwgDnaseUwdukeGm12878UniPk.narrowPeak,ENCODE,GSE29692
E2F4,wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk.narrowPeak,ENCODE,GSE31477
EBF1,wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
EGR1,wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk.narrowPeak,ENCODE,GSE32465
ELF1,wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk.narrowPeak,ENCODE,GSE32465
ELK1,wgEncodeAwgTfbsSydhGm12878Elk112771IggmusUniPk.narrowPeak,ENCODE,GSE31477
EP300,wgEncodeAwgTfbsSydhGm12878P300bUniPk.narrowPeak,ENCODE,GSE31477
ETS1,wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
EZH2,wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk.narrowPeak,ENCODE,GSE29611
FAIRE-seq,wgEncodeOpenChromFaireGm12878Pk.narrowPeak,ENCODE,GSE35239
FOS,wgEncodeAwgTfbsSydhGm12878CfosUniPk.narrowPeak,ENCODE,GSE31477
FOXM1,wgEncodeAwgTfbsHaibGm12878Foxm1sc502V0422111UniPk.narrowPeak,ENCODE,GSE32465
GABPA,wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk.narrowPeak,ENCODE,GSE32465
H2AZ,wgEncodeBroadHistoneGm12878H2azStdPk.broadPeak,ENCODE,GSE29611
H3K27ac,wgEncodeBroadHistoneGm12878H3k27acStdPk.broadPeak,ENCODE,GSE29611
H3K27me3,wgEncodeBroadHistoneGm12878H3k27me3StdPkV2.broadPeak,ENCODE,GSE29611
H3K36me3,wgEncodeBroadHistoneGm12878H3k36me3StdPk.broadPeak,ENCODE,GSE29611
H3K4me1,wgEncodeBroadHistoneGm12878H3k04me1StdPkV2.broadPeak,ENCODE,GSE29611
H3K4me2,wgEncodeBroadHistoneGm12878H3k4me2StdPk.broadPeak,ENCODE,GSE29611
