tracking_id	shCtrl-1_0	shCtrl-2_0	shU-1_0	shU-2_0
ENSMUSG00000000001.4	82.0899	83.8773	126.027	119.414
ENSMUSG00000000003.9	0	0	0	0.0755935
ENSMUSG00000000028.8	3.97578	3.70484	2.09914	2.42987
ENSMUSG00000000031.9	0.29012	0.289964	0.149298	0.148403
ENSMUSG00000000037.9	0	0	0.122818	0
ENSMUSG00000000049.5	5.46947	4.20457	0.219094	0.473824
ENSMUSG00000000056.7	23.3408	21.6348	17.227	17.5553
ENSMUSG00000000058.6	47.9268	48.2485	55.1964	53.9654
ENSMUSG00000000078.6	69.5897	70.9539	127.691	126.464
ENSMUSG00000000085.9	2.93315	3.01991	2.46984	4.84921
ENSMUSG00000000088.6	63.6137	65.7543	303.929	289.331
ENSMUSG00000000093.6	0.0522584	0	0	0.0512082
ENSMUSG00000000094.6	0	0.0120839	0	0
ENSMUSG00000000103.6	0	0	0	0
ENSMUSG00000000120.6	0	0.0102571	0.0108822	0
ENSMUSG00000000125.5	0	0	0	0
ENSMUSG00000000126.5	1.70443	1.50628	6.27839	6.86088
ENSMUSG00000000127.7	11.6642	12.5945	13.448	12.2948
ENSMUSG00000000131.9	17.8064	21.4167	24.9379	30.0077
ENSMUSG00000000134.11	11.4909	11.5346	13.2443	16.6485
ENSMUSG00000000142.9	1.86907	1.17052	0.693207	0.344416
ENSMUSG00000000148.10	12.7422	12.6002	14.0011	14.6998
ENSMUSG00000000149.5	20.9678	21.6732	16.5868	16.3537
ENSMUSG00000000154.8	22.4075	21.8414	16.5963	18.736
ENSMUSG00000000157.8	0.359869	0.335371	0.219373	0.367148
ENSMUSG00000000159.9	13.7076	13.1639	16.0674	15.0213
ENSMUSG00000000167.8	4.5926	4.49851	11.9996	11.3186
ENSMUSG00000000168.3	34.9062	37.1975	27.9773	22.5919
ENSMUSG00000000171.4	118.142	117.615	151.728	139.026
ENSMUSG00000000182.7	0.0372136	0.0417045	0	0
ENSMUSG00000000183.5	0	0	0	0
ENSMUSG00000000184.9	93.2621	93.4195	24.2369	26.7656
ENSMUSG00000000194.7	24.908	26.3095	34.7188	34.6767
ENSMUSG00000000197.6	0	0.00957583	0.00508118	0
ENSMUSG00000000202.3	0.778941	0.670804	0.0126751	0.0252149
ENSMUSG00000000204.8	0.0255505	0.00949597	0.0320325	0
ENSMUSG00000000214.4	0.0374326	0	0	0
ENSMUSG00000000215.4	0	0	0	0
ENSMUSG00000000216.7	0	0.01195	0	0
ENSMUSG00000000223.6	0.0244871	0.0667099	0.0120224	0.0290006
ENSMUSG00000000244.9	2.23443	2.87452	0.956925	0.908606
ENSMUSG00000000247.4	0	0	0.0513742	0
ENSMUSG00000000248.9	0.159681	0.184596	0.0974869	0
ENSMUSG00000000253.6	3.84767	3.40237	1.60893	1.18937
ENSMUSG00000000263.9	0	0	0.0670497	0.0890265
ENSMUSG00000000266.5	6.11208	6.23172	3.50886	3.69876
ENSMUSG00000000275.9	12.4538	12.5486	13.0214	13.178
ENSMUSG00000000276.5	1.32637	1.45292	2.99301	2.87945
ENSMUSG00000000278.9	73.3732	71.5596	83.1949	92.1551
ENSMUSG00000000282.6	2.63127	2.531	3.2279	4.22968
ENSMUSG00000000290.7	0.151868	0.124324	0.127744	0.0905578
ENSMUSG00000000295.6	40.5356	38.8605	36.3772	33.6397
ENSMUSG00000000296.6	33.6913	29.1832	8.70975	6.22314
ENSMUSG00000000301.9	9.29587	5.85746	4.20635	3.0049
ENSMUSG00000000303.6	45.0608	44.8672	30.2309	30.3893
ENSMUSG00000000305.6	0	0.0107071	0.0415233	0.0112841
ENSMUSG00000000308.8	0.708429	0.396246	0.510728	1.76088
ENSMUSG00000000317.5	0.141441	0.152461	0.0446399	0.0221859
ENSMUSG00000000318.9	0	0	0	0
ENSMUSG00000000320.3	0.0640003	0.0833474	0.0252623	0.055235
ENSMUSG00000000325.8	10.5137	10.2883	14.6392	14.3315
ENSMUSG00000000326.6	139.956	149.871	213.173	210.519
ENSMUSG00000000339.8	12.9585	14.1834	16.4485	12.6514
ENSMUSG00000000340.6	6.64468	6.2621	7.79641	8.56688
ENSMUSG00000000346.7	80.656	81.0928	120.964	123.007
ENSMUSG00000000355.6	186.137	184.07	162.744	152.84
ENSMUSG00000000359.3	0	0	0	0
ENSMUSG00000000365.7	0	0	0	0
ENSMUSG00000000374.7	14.8396	14.6251	18.62	18.6118
ENSMUSG00000000378.8	44.5036	41.9809	57.0155	52.4884
ENSMUSG00000000381.9	0.121625	0.204107	0.396852	0.359013
ENSMUSG00000000384.8	30.0227	32.9985	42.4192	45.9594
ENSMUSG00000000385.7	2.594	2.90601	7.86263	8.57667
ENSMUSG00000000386.8	0.149592	0.109005	0.0568021	0
ENSMUSG00000000392.11	0.100509	0.0424575	0	0
ENSMUSG00000000394.9	0	0	0	0
ENSMUSG00000000399.7	114.715	116.102	114.121	96.7974
ENSMUSG00000000402.2	0	0.0133385	0	0
ENSMUSG00000000409.8	1.06416	1.00731	0.198554	0.0986198
ENSMUSG00000000411.7	0	0.0314982	0.0667579	0.0665999
ENSMUSG00000000416.9	14.0485	20.612	3.25587	3.03747
ENSMUSG00000000420.8	59.4417	58.0632	86.5677	80.5537
ENSMUSG00000000435.1	0	0	0	0
ENSMUSG00000000439.7	19.209	20.7864	22.0159	21.7774
ENSMUSG00000000440.6	3.26128	3.80459	2.73185	2.61475
ENSMUSG00000000441.10	54.1629	54.7152	46.4418	43.8463
ENSMUSG00000000486.7	0.277893	0.258061	0.0628158	0.0922793
ENSMUSG00000000489.6	11.0278	10.937	25.9128	27.7848
ENSMUSG00000000530.9	0.361107	0.211447	0.117507	0.148645
ENSMUSG00000000531.4	0.82712	0.944501	5.36152	5.08262
ENSMUSG00000000532.8	15.4098	14.8327	11.2909	11.4977
ENSMUSG00000000538.11	35.0623	34.2312	16.4857	19.4582
ENSMUSG00000000544.8	0.207768	0	0	0
ENSMUSG00000000552.8	0.766797	0.512533	0.900327	2.06198
ENSMUSG00000000555.6	7.02605	7.45553	7.84336	10.2647
ENSMUSG00000000560.5	0	0	0	0
ENSMUSG00000000561.8	26.2563	27.2872	45.7264	36.9658
ENSMUSG00000000562.4	0	0	0	0
ENSMUSG00000000563.11	140.34	138.481	188.265	171.763
ENSMUSG00000000567.4	12.1728	13.0257	7.38386	9.76982
ENSMUSG00000000568.9	16.286	12.2996	14.5858	20.7168
ENSMUSG00000000579.8	23.201	26.371	16.0973	15.8508
ENSMUSG00000000581.2	58.7371	51.9071	73.9981	59.1293
ENSMUSG00000000594.7	13.6827	13.8875	17.3302	17.2021
ENSMUSG00000000600.8	19.3386	19.9027	26.4213	23.8567
ENSMUSG00000000605.7	21.6235	21.7243	27.7489	27.7549
ENSMUSG00000000606.8	0	0	0	0
ENSMUSG00000000617.8	0	0	0	0
ENSMUSG00000000627.9	0.0153471	0.0171064	0.145199	0.0811574
ENSMUSG00000000628.4	3.82922	3.27139	3.73334	4.78924
ENSMUSG00000000631.12	163.453	170.732	235.407	231.413
ENSMUSG00000000632.7	0.018517	0	0	0
ENSMUSG00000000673.8	0	0	0	0
ENSMUSG00000000682.7	0	0	0	0
ENSMUSG00000000686.11	1.46591	1.28507	0.5145	0.170043
ENSMUSG00000000690.3	0.132375	0.0572021	0.0712028	0.0954343
ENSMUSG00000000693.4	5.00868	6.45446	5.43115	3.75014
ENSMUSG00000000701.7	0	0	0	0
ENSMUSG00000000706.9	0.185233	0.1818	0.475043	0.623935
ENSMUSG00000000708.8	25.5799	29.2943	17.7615	17.5597
ENSMUSG00000000711.2	47.0947	44.3962	37.0855	36.2985
ENSMUSG00000000724.9	0.794556	0.547675	0.54991	1.03578
ENSMUSG00000000730.7	0	0	0	0
ENSMUSG00000000731.9	0	0	0	0
ENSMUSG00000000732.7	0.0233939	0.0675841	0	0
ENSMUSG00000000738.11	51.7927	49.6878	31.2549	27.2639
ENSMUSG00000000739.7	0.320377	0.437403	0	0.0763132
ENSMUSG00000000740.5	261.693	216.585	260.454	232.421
ENSMUSG00000000743.8	84.1552	85.4881	87.563	78.0841
ENSMUSG00000000751.7	36.6446	39.2869	20.8659	19.2203
ENSMUSG00000000753.8	5.62895	6.16938	1.07246	1.11625
ENSMUSG00000000759.8	21.6694	22.6983	28.581	25.4225
ENSMUSG00000000766.11	0	0	0	0
ENSMUSG00000000776.5	13.8492	13.5053	17.1326	15.6728
ENSMUSG00000000782.8	0.326375	0.366752	0.546766	0.805503
ENSMUSG00000000787.6	207.788	199.051	302.812	292.086
ENSMUSG00000000791.7	0.129586	0.0624215	0.0418708	0.0416384
ENSMUSG00000000792.2	0.0876336	0.0366883	0.116759	0.103193
ENSMUSG00000000794.7	0.0656149	0.0124325	0	0
ENSMUSG00000000804.8	19.8635	18.4808	18.9031	20.7684
ENSMUSG00000000805.11	0	0	0	0
ENSMUSG00000000811.7	2.91421	3.35538	3.69047	3.152
ENSMUSG00000000817.8	0	0.0524666	0	0.0567894
ENSMUSG00000000823.9	12.0515	12.4847	12.4534	12.2879
ENSMUSG00000000826.10	46.4692	46.4928	86.8794	82.4402
ENSMUSG00000000827.10	85.704	83.2732	80.2614	68.4916
ENSMUSG00000000838.10	25.5233	26.599	21.2278	21.1132
ENSMUSG00000000861.9	0	0.00572471	0	0
ENSMUSG00000000869.6	0	0	0	0.343539
ENSMUSG00000000876.5	9.42627	10.9393	3.93247	3.93985
ENSMUSG00000000881.6	2.6861	3.36759	1.92796	1.86007
ENSMUSG00000000884.9	1.33393	1.80299	2.96698	2.15055
ENSMUSG00000000889.7	0.028923	0.0284264	0	0.0170667
ENSMUSG00000000901.8	6.44491	5.66849	11.023	9.94065
ENSMUSG00000000902.6	26.3486	25.9147	24.915	23.547
ENSMUSG00000000903.3	0	0	0	0
