h corr scc chr cell_type1 cell_type2
14 2 0.976821121918494 0.591969527805985 9 K562 IMR90
10 2 0.988959359358565 0.669880985723404 13 K562 IMR90
5 2 0.989987568426999 0.698043960677569 18 K562 IMR90
20 2 0.98955185655639 0.698403765202049 4 K562 IMR90
19 2 0.986420326606396 0.703593826390184 5 K562 IMR90
13 2 0.456162285872816 0.70845931174699 11 K562 IMR90
16 2 0.618108111461738 0.728234795558241 8 K562 IMR90
21 2 0.98960017867095 0.734938693707324 3 K562 IMR90
15 2 0.982906911019227 0.735466649124531 X K562 IMR90
18 2 0.989825843748409 0.743819328271171 6 K562 IMR90
17 2 0.986856946348904 0.744185155740758 7 K562 IMR90
12 2 0.985258887523588 0.745889004486658 10 K562 IMR90
2 2 0.986470169395832 0.751006784071995 21 K562 IMR90
11 2 0.989403954986338 0.75412929586258 12 K562 IMR90
22 2 0.987106332950379 0.760165069219393 1 K562 IMR90
3 2 0.658633297074425 0.772195529020212 19 K562 IMR90
4 2 0.989583862231388 0.775027095066336 20 K562 IMR90
9 2 0.988497012724418 0.775286571391611 14 K562 IMR90
23 2 0.989276879733125 0.777191559763257 2 K562 IMR90
7 2 0.985505901662755 0.783313775171672 16 K562 IMR90
8 2 0.98629914518885 0.801817414936739 15 K562 IMR90
6 2 0.987546888539305 0.825203976852524 17 K562 IMR90
1 2 0.985361662656301 0.841184955373156 22 K562 IMR90
