h corr scc chr cell_type1 cell_type2
2 0.966046585864804 0.565003720048045 9 K562 NHEK
2 0.982075602489136 0.695139858347475 13 K562 NHEK
2 0.978151382359603 0.713568098204638 5 K562 NHEK
2 0.384254747269179 0.718404203108355 11 K562 NHEK
2 0.979476470785036 0.72866583721952 X K562 NHEK
2 0.982795480335503 0.733198747975461 4 K562 NHEK
2 0.979125491842272 0.7363631216163121 21 K562 NHEK
2 0.97523062894563 0.746161602326222 10 K562 NHEK
2 0.988468398363646 0.758524971848815 8 K562 NHEK
2 0.980581651193537 0.763056571592588 6 K562 NHEK
2 0.980858142928633 0.763779594216128 3 K562 NHEK
2 0.982791384911164 0.767263199349498 18 K562 NHEK
2 0.978164632616236 0.7731475864132120 20 K562 NHEK
2 0.97968921792738 0.776067699110301 12 K562 NHEK
2 0.975565105271403 0.779259499453802 1 K562 NHEK
2 0.616510080880085 0.77998382778966 19 K562 NHEK
2 0.979952605002232 0.783596991015242 2 K562 NHEK
2 0.977376736480204 0.78375454350503 7 K562 NHEK
2 0.979176028741565 0.787363866889476 14 K562 NHEK
2 0.97370271974384 0.810313457220577 15 K562 NHEK
2 0.974522010290733 0.810964736404598 16 K562 NHEK
2 0.973193721607867 0.834411749639246 17 K562 NHEK
2 0.970493811210958 0.838039292030122 22 K562 NHEK
