h corr scc chr cell_type1 cell_type2
16 2 0.985230568283922 0.656879277039127 X Mcyte IMR90
20 2 0.992389582308059 0.743053505614554 4 Mcyte IMR90
5 2 0.992922674758591 0.743498327289529 18 Mcyte IMR90
12 2 0.979108274634848 0.759322327843474 9 Mcyte IMR90
14 2 0.613672909295219 0.759860225343929 11 Mcyte IMR90
19 2 0.990224651533276 0.762988401962328 5 Mcyte IMR90
21 2 0.992578212376682 0.763669671021114 3 Mcyte IMR90
9 2 0.607972493923217 0.769304912805336 14 Mcyte IMR90
17 2 0.989583521210637 0.771402312981618 7 Mcyte IMR90
10 2 0.992675906145634 0.773330955843055 13 Mcyte IMR90
15 2 0.98999158796143 0.775878089088578 8 Mcyte IMR90
18 2 0.985962767017762 0.780401638993586 6 Mcyte IMR90
3 2 0.992526096447132 0.782394660235457 19 Mcyte IMR90
23 2 0.991963912844803 0.800941966359639 2 Mcyte IMR90
4 2 0.991399764399297 0.801317275940865 20 Mcyte IMR90
11 2 0.989503312831711 0.803980225806012 10 Mcyte IMR90
7 2 0.987442869143306 0.80993821961288 16 Mcyte IMR90
13 2 0.992226454431902 0.812925109612466 12 Mcyte IMR90
22 2 0.988892997947929 0.815090068117012 1 Mcyte IMR90
1 2 0.990713679519174 0.825719536423053 21 Mcyte IMR90
8 2 0.988307701867379 0.827116001372667 15 Mcyte IMR90
6 2 0.990606706548161 0.838201508922909 17 Mcyte IMR90
2 2 0.988530771647474 0.875067929494915 22 Mcyte IMR90
