h corr scc chr cell_type1 cell_type2
2 0.991429688749299 0.828482521428415 1 Mcyte K562
2 0.989112831993107 0.804907017339801 10 Mcyte K562
2 0.448335365102142 0.739410944465276 11 Mcyte K562
2 0.99349438154588 0.832446989362384 12 Mcyte K562
2 0.992300518807076 0.738305926013238 13 Mcyte K562
2 0.653254048014584 0.81427862420766 14 Mcyte K562
2 0.989077028814155 0.820028794727935 15 Mcyte K562
2 0.991387378167278 0.861702531471981 16 Mcyte K562
2 0.992337266912164 0.849754031425365 17 Mcyte K562
2 0.993364124238468 0.773863472486958 18 Mcyte K562
2 0.688474867096581 0.838750893298257 19 Mcyte K562
2 0.992945509573614 0.823635101870028 2 Mcyte K562
2 0.993534823150172 0.800222214061572 20 Mcyte K562
2 0.992206929047647 0.84050703000811 21 Mcyte K562
2 0.990193139908143 0.860265264769442 22 Mcyte K562
2 0.993273636603178 0.795897666255273 3 Mcyte K562
2 0.993161920057087 0.76808946493897 4 Mcyte K562
2 0.990745732654717 0.762374059145749 5 Mcyte K562
2 0.9881185605634 0.785720046272734 6 Mcyte K562
2 0.991662493443365 0.821109014740725 7 Mcyte K562
2 0.636271893850269 0.774878730153039 8 Mcyte K562
2 0.980260858518163 0.651659165920307 9 Mcyte K562
2 0.989637904719104 0.707816731802827 X Mcyte K562
