h corr scc chr cell_type1 cell_type2
2 0.990028102920162 0.80341283320984 1 Mcyte rep2
2 0.991504018963528 0.815696439043112 10 Mcyte rep2
2 0.406906742329076 0.736559458182736 11 Mcyte rep2
2 0.993280624311259 0.818899862653857 12 Mcyte rep2
2 0.994078709239477 0.824167581461371 13 Mcyte rep2
2 0.995977488366547 0.821209897094122 14 Mcyte rep2
2 0.990789523479115 0.845071734992727 15 Mcyte rep2
2 0.99173073903497 0.863980807542652 16 Mcyte rep2
2 0.99199952105822 0.841534365087701 17 Mcyte rep2
2 0.993859864992186 0.7449856784495 18 Mcyte rep2
2 0.994884636958289 0.835032353707591 19 Mcyte rep2
2 0.993208510314725 0.808926082609272 2 Mcyte rep2
2 0.992925901311969 0.823472844544102 20 Mcyte rep2
2 0.991431632691889 0.785614747680472 21 Mcyte rep2
2 0.626537676860904 0.820257095621982 22 Mcyte rep2
2 0.993659947953214 0.799046487583142 3 Mcyte rep2
2 0.992447826530861 0.757296119478462 4 Mcyte rep2
2 0.990526876043976 0.79199295089916 5 Mcyte rep2
2 0.607845586229292 0.794735878461084 6 Mcyte rep2
2 0.991222069446631 0.777198255986251 7 Mcyte rep2
2 0.592697066476592 0.778522792718471 8 Mcyte rep2
2 0.981772205350399 0.789155365273784 9 Mcyte rep2
2 0.986303916640584 0.643462165961346 X Mcyte rep2
