h corr scc chr cell_type1 cell_type2
14 2 0.975794201285509 0.745935316148424 9 NHEK IMR90
20 2 0.991963593379225 0.748218098254246 4 NHEK IMR90
16 2 0.993838427548361 0.764404749093349 X NHEK IMR90
5 2 0.991842814799009 0.767213890646758 18 NHEK IMR90
19 2 0.989351156962996 0.768277864605071 5 NHEK IMR90
15 2 0.556654442138087 0.775968637594212 8 NHEK IMR90
21 2 0.991341286402882 0.778602120508595 3 NHEK IMR90
1 2 0.989011345021163 0.781983535252888 21 NHEK IMR90
10 2 0.99201077453618 0.792431653288097 13 NHEK IMR90
13 2 0.556039397669934 0.793161957473977 11 NHEK IMR90
17 2 0.988062569896106 0.794195397328786 7 NHEK IMR90
7 2 0.986717968911434 0.795419942068721 16 NHEK IMR90
9 2 0.990260955456327 0.811780479483625 14 NHEK IMR90
22 2 0.990256884506209 0.812362974586283 2 NHEK IMR90
18 2 0.990993538779016 0.813073172475899 6 NHEK IMR90
4 2 0.989730473532389 0.818324398854179 20 NHEK IMR90
23 2 0.987510272907872 0.821384568740616 1 NHEK IMR90
11 2 0.987977271414322 0.828091082828314 10 NHEK IMR90
8 2 0.984337253572669 0.831154481727639 15 NHEK IMR90
12 2 0.990795610989158 0.832384074854027 12 NHEK IMR90
6 2 0.985555680057035 0.864876844421861 17 NHEK IMR90
3 2 0.994680594836287 0.87032249780367 19 NHEK IMR90
2 2 0.983753273955847 0.900895996559157 22 NHEK IMR90
