h corr scc chr cell_type1 cell_type2
2 0.991500586233886 0.739419213829513 1 rep2 IMR90
2 0.991424419759906 0.758253273197358 10 rep2 IMR90
2 0.398702727868766 0.696568844630269 11 rep2 IMR90
2 0.993995723667899 0.769008627194166 12 rep2 IMR90
2 0.994546808994403 0.736716331440666 13 rep2 IMR90
2 0.590997551843574 0.751268785583566 14 rep2 IMR90
2 0.990427091490614 0.810735029779655 15 rep2 IMR90
2 0.990629486615678 0.777549877216971 16 rep2 IMR90
2 0.991999752432966 0.815449310516217 17 rep2 IMR90
2 0.993998686740155 0.649777297746893 18 rep2 IMR90
2 0.996318900205916 0.817035466910524 19 rep2 IMR90
2 0.993026846767662 0.746312744132282 2 rep2 IMR90
2 0.993867404047016 0.78837588493762 20 rep2 IMR90
2 0.991118275259555 0.717536307294662 21 rep2 IMR90
2 0.616262455162866 0.774429113612862 22 rep2 IMR90
2 0.994316898648474 0.718925632555617 3 rep2 IMR90
2 0.993918429731669 0.691819219926178 4 rep2 IMR90
2 0.991490022596635 0.722892327405698 5 rep2 IMR90
2 0.590407182061159 0.747959354372251 6 rep2 IMR90
2 0.992438536099591 0.748410562945562 7 rep2 IMR90
2 0.575858290047579 0.695133205470456 8 rep2 IMR90
2 0.982385671975091 0.731649578110469 9 rep2 IMR90
2 0.99452170163072 0.772794608301602 X rep2 IMR90
