h corr scc chr cell_type1 cell_type2
14 2 0.977222427794614 0.623025877398684 9 rep2 K562
5 2 0.990491733580614 0.706978929661193 18 rep2 K562
20 2 0.989687534313581 0.722016780558506 4 rep2 K562
10 2 0.989776614179378 0.732283186260605 13 rep2 K562
15 2 0.984543881066757 0.732979571413604 X rep2 K562
21 2 0.990047482046911 0.735759228091403 3 rep2 K562
16 2 0.992055502845002 0.751121264005031 8 rep2 K562
12 2 0.986320584578779 0.755654000405425 10 rep2 K562
18 2 0.632736420396149 0.759481215693967 6 rep2 K562
17 2 0.987931445296832 0.765357856415776 7 rep2 K562
13 2 0.993710616567022 0.766247054939885 11 rep2 K562
19 2 0.987476820101484 0.770065226236573 5 rep2 K562
2 2 0.988240580217987 0.776069414732387 21 rep2 K562
9 2 0.634560534251316 0.788435451614238 14 rep2 K562
1 2 0.657362845403507 0.788631537917005 22 rep2 K562
23 2 0.987770304690797 0.793330349261315 1 rep2 K562
22 2 0.989530470849068 0.796115709210266 2 rep2 K562
3 2 0.659454348252149 0.799565284074237 19 rep2 K562
11 2 0.990437239936458 0.807219395163506 12 rep2 K562
4 2 0.990906874135059 0.808625356131379 20 rep2 K562
8 2 0.987005562597217 0.82917116858528 15 rep2 K562
6 2 0.989662493943869 0.83898763163397 17 rep2 K562
7 2 0.988185248450214 0.85159741106942 16 rep2 K562
