h corr scc chr cell_type1 cell_type2
2 0.988355638794754 0.787419808461838 1 rep2 NHEK
2 0.988293828217867 0.743934535428285 10 rep2 NHEK
2 0.34749483852841 0.697946129461162 11 rep2 NHEK
2 0.991073985130817 0.770483257469025 12 rep2 NHEK
2 0.993353959167085 0.759490058890122 13 rep2 NHEK
2 0.544331314719144 0.77826052913343 14 rep2 NHEK
2 0.985795124147936 0.80487070801024 15 rep2 NHEK
2 0.985876016295889 0.799490616382166 16 rep2 NHEK
2 0.986310435727077 0.814855478258746 17 rep2 NHEK
2 0.992868510236861 0.682990278490727 18 rep2 NHEK
2 0.992973124795566 0.774786453821735 19 rep2 NHEK
2 0.991136368404884 0.759842480766142 2 rep2 NHEK
2 0.989738830325747 0.756028943987232 20 rep2 NHEK
2 0.991180762886192 0.711465591458442 21 rep2 NHEK
2 0.546410424791564 0.786022425757092 22 rep2 NHEK
2 0.992191804202268 0.741222520423439 3 rep2 NHEK
2 0.993163272348253 0.705961745853833 4 rep2 NHEK
2 0.989492665361291 0.729636792795921 5 rep2 NHEK
2 0.544664771396911 0.735592499998126 6 rep2 NHEK
2 0.989188373759416 0.755734563650628 7 rep2 NHEK
2 0.993071412807251 0.735986809359752 8 rep2 NHEK
2 0.978454588714361 0.739599832078331 9 rep2 NHEK
2 0.993073626252116 0.713273737327654 X rep2 NHEK
