h corr scc chr cell_type1 cell_type2
2 0.9890684416581 0.546274665652098 18 K562 IMR90
2 0.97324890425975 0.549522803735542 9 K562 IMR90
2 0.987769068696623 0.58590579609421 13 K562 IMR90
2 0.988486143100041 0.595629976566979 4 K562 IMR90
2 0.981577824014694 0.631912751175648 X K562 IMR90
2 0.985378737216358 0.633681037878129 5 K562 IMR90
2 0.988701761581759 0.635232597895725 12 K562 IMR90
2 0.988759998767245 0.64696831527552 3 K562 IMR90
2 0.985017248120503 0.663913585194247 22 K562 IMR90
2 0.985729663590566 0.66831818006336 21 K562 IMR90
2 0.985839359184026 0.670391288826469 7 K562 IMR90
2 0.456106060786802 0.672736846578279 11 K562 IMR90
2 0.618083682350749 0.685773961347688 8 K562 IMR90
2 0.988455221118916 0.687357818385764 2 K562 IMR90
2 0.989072572675563 0.687395074825185 6 K562 IMR90
2 0.658435510469935 0.688125959694529 19 K562 IMR90
2 0.989025395443191 0.688460300232473 20 K562 IMR90
2 0.986110261771846 0.702789479956216 1 K562 IMR90
2 0.987718674544156 0.70875052343286 14 K562 IMR90
2 0.984923257604643 0.750899032042804 16 K562 IMR90
2 0.983977788305836 0.757396111726598 10 K562 IMR90
2 0.984989696212911 0.760044303358189 15 K562 IMR90
2 0.986331541027991 0.760542208510729 17 K562 IMR90
