h corr scc chr cell_type1 cell_type2
2 0.983046599783944 0.621511663295238 X Mcyte NHEK
2 0.987706402609535 0.641769294363562 18 Mcyte NHEK
2 0.968473030262755 0.692907259076305 9 Mcyte NHEK
2 0.982237762021699 0.708787864852248 20 Mcyte NHEK
2 0.986066197188047 0.736343724862368 19 Mcyte NHEK
2 0.987515319193603 0.745665760571035 4 Mcyte NHEK
2 0.983449001740001 0.746938548966437 5 Mcyte NHEK
2 0.984208335280742 0.748292641582202 12 Mcyte NHEK
2 0.571201907613396 0.756956209526865 8 Mcyte NHEK
2 0.9757997889787 0.757332760791706 22 Mcyte NHEK
2 0.978014669067838 0.761796578252955 1 Mcyte NHEK
2 0.98795015619792 0.768618886976964 13 Mcyte NHEK
2 0.981979466541086 0.773594121959986 10 Mcyte NHEK
2 0.98231600857903 0.775049027899892 7 Mcyte NHEK
2 0.986151536486039 0.778085417323047 3 Mcyte NHEK
2 0.977489977483607 0.779449233438048 15 Mcyte NHEK
2 0.560774473394191 0.78080773419403 14 Mcyte NHEK
2 0.9855256332071 0.787850691238547 2 Mcyte NHEK
2 0.978123836105753 0.791570984676265 16 Mcyte NHEK
2 0.984354069609362 0.791956310714589 21 Mcyte NHEK
2 0.977595648590034 0.802836579473862 17 Mcyte NHEK
2 0.984358168819715 0.824600247132505 11 Mcyte NHEK
2 0.979338847562482 0.836851556800108 6 Mcyte NHEK
