h corr scc chr cell_type1 cell_type2
2 0.985598152067766 0.559120850284156 X Mcyte rep2
2 0.993467061332512 0.62222118494743 18 Mcyte rep2
2 0.99190042959044 0.624494709872812 4 Mcyte rep2
2 0.990990181742322 0.667539518194196 21 Mcyte rep2
2 0.990052212740363 0.673656313167405 5 Mcyte rep2
2 0.978619816359223 0.680994691536782 9 Mcyte rep2
2 0.992738595512019 0.689154887234807 2 Mcyte rep2
2 0.993247054974036 0.698654852252365 3 Mcyte rep2
2 0.993598171945234 0.706141912894127 13 Mcyte rep2
2 0.992612433553907 0.708541420287768 20 Mcyte rep2
2 0.592736264636874 0.712048749879462 8 Mcyte rep2
2 0.407067307610983 0.719482727827978 11 Mcyte rep2
2 0.99289564715909 0.728901092005447 12 Mcyte rep2
2 0.990333798482811 0.735615305418705 7 Mcyte rep2
2 0.607932852294124 0.746085915634676 6 Mcyte rep2
2 0.989509478588389 0.747837574467965 1 Mcyte rep2
2 0.990350698930672 0.759867454245089 10 Mcyte rep2
2 0.995767687485638 0.763366267388699 14 Mcyte rep2
2 0.990752038961883 0.767129841462579 16 Mcyte rep2
2 0.991667090833394 0.767839344454785 17 Mcyte rep2
2 0.625894937409115 0.783626035805989 22 Mcyte rep2
2 0.989904860217175 0.786183529358499 15 Mcyte rep2
2 0.994692153934762 0.788156489741244 19 Mcyte rep2
