h corr scc chr cell_type1 cell_type2
2 0.984423922335476 0.50429879377963 X Mcyte IMR90
2 0.992381096641644 0.587288140743959 18 Mcyte IMR90
2 0.99179873734471 0.626636179266489 4 Mcyte IMR90
2 0.989559928270818 0.640330211026064 5 Mcyte IMR90
2 0.991017550317486 0.648517019093273 20 Mcyte IMR90
2 0.988655587359275 0.66726181198617 7 Mcyte IMR90
2 0.992241879195853 0.67338806553052 19 Mcyte IMR90
2 0.991735175666282 0.676002703828305 12 Mcyte IMR90
2 0.992080602994169 0.680679711313577 3 Mcyte IMR90
2 0.608058903145448 0.681534018309086 14 Mcyte IMR90
2 0.991419222297092 0.683407370499094 2 Mcyte IMR90
2 0.992121587944552 0.69322910936533 13 Mcyte IMR90
2 0.989386065123076 0.694011092026104 8 Mcyte IMR90
2 0.613451573461213 0.706887980955915 11 Mcyte IMR90
2 0.976936330769678 0.70895819866547 9 Mcyte IMR90
2 0.988218142577426 0.714421104403539 1 Mcyte IMR90
2 0.990215406769897 0.731131512607592 21 Mcyte IMR90
2 0.988168379329759 0.737685646705745 22 Mcyte IMR90
2 0.985422424133808 0.742286486904802 6 Mcyte IMR90
2 0.987119210273077 0.755489517816207 15 Mcyte IMR90
2 0.990278988889867 0.766740780784574 17 Mcyte IMR90
2 0.988460663360831 0.771452775849952 10 Mcyte IMR90
2 0.986537204109321 0.794290236637469 16 Mcyte IMR90
