h corr scc chr cell_type1 cell_type2
2 0.97427461704475 0.570101612557885 9 rep2 K562
2 0.98969802574632 0.58847630118093 18 rep2 K562
2 0.988656204962197 0.601268930348664 4 rep2 K562
2 0.656849277176868 0.618144971596548 22 rep2 K562
2 0.988697484158588 0.628920213685608 13 rep2 K562
2 0.98928458629797 0.663788292862842 3 rep2 K562
2 0.986628397455022 0.66697102211017 5 rep2 K562
2 0.983310638153732 0.691152176768133 X rep2 K562
2 0.989845344108006 0.699616220579995 12 rep2 K562
2 0.987657369783714 0.701939089259393 21 rep2 K562
2 0.988786880630424 0.716347147215238 2 rep2 K562
2 0.98707109162539 0.725572275773185 7 rep2 K562
2 0.632676952528643 0.729188876565502 6 rep2 K562
2 0.991527474817605 0.729716251681596 8 rep2 K562
2 0.986929773549651 0.74784656901082 1 rep2 K562
2 0.990434633712803 0.753997016398684 20 rep2 K562
2 0.985224763049977 0.755035779090362 10 rep2 K562
2 0.99309806013274 0.75650059560481 11 rep2 K562
2 0.659273294728827 0.757269879609704 19 rep2 K562
2 0.634374488821136 0.770912677401395 14 rep2 K562
2 0.985748384968094 0.783139532253674 15 rep2 K562
2 0.988672794040601 0.787059191539929 17 rep2 K562
2 0.987052451127784 0.787074735171819 16 rep2 K562
