h corr scc chr cell_type1 cell_type2
2 0.943836523587911 0.439113186514657 1 CMyo proB
2 0.943453852836177 0.442964587554369 10 CMyo proB
2 0.94892312042652 0.391656153502211 11 CMyo proB
2 0.77173758443498 0.399004535217475 12 CMyo proB
2 0.93724916428932 0.539069520888052 13 CMyo proB
2 0.378050570298176 0.172990747872892 14 CMyo proB
2 0.948363047911579 0.454543761559732 15 CMyo proB
2 0.459028648461323 0.404452735461027 16 CMyo proB
2 0.944006794417846 0.469730971817562 17 CMyo proB
2 0.944305791204869 0.55426540063915 18 CMyo proB
2 0.951474421086684 0.527359991236733 19 CMyo proB
2 0.786489256959698 0.409531599521344 2 CMyo proB
2 0.942408856516499 0.463486558139687 3 CMyo proB
2 0.777712479474902 0.349307073314846 4 CMyo proB
2 0.783967424624854 0.338595356849109 5 CMyo proB
2 0.846064160800529 0.450243935592134 6 CMyo proB
2 0.925144020228014 0.346638890130787 7 CMyo proB
2 0.939868688176115 0.464440808720211 8 CMyo proB
2 0.726630036233029 0.405920408737555 9 CMyo proB
2 0.911769901589722 0.208106682708411 X CMyo proB
