h corr scc chr cell_type1 cell_type2
2 0.984244327394963 0.881414757406378 9 rep1 rep2
2 0.995012450320966 0.942006449470086 X rep1 rep2
2 0.995083382382079 0.951756883710693 1 rep1 rep2
2 0.994480422811952 0.95605318190142 5 rep1 rep2
2 0.99644579240527 0.956247165854534 4 rep1 rep2
2 0.996772202209182 0.960342935969115 13 rep1 rep2
2 0.995567065038561 0.963216709995116 10 rep1 rep2
2 0.996712053487648 0.964100676494034 21 rep1 rep2
2 0.412561112718836 0.965554925415379 11 rep1 rep2
2 0.997055780567691 0.96588370149299 18 rep1 rep2
2 0.996924012168713 0.966896492094283 3 rep1 rep2
2 0.994926111058265 0.96768393094776 16 rep1 rep2
2 0.996558234407545 0.970287815780765 2 rep1 rep2
2 0.995464158479656 0.97135881288932 7 rep1 rep2
2 0.99611274831683 0.972151681467892 22 rep1 rep2
2 0.997457760595278 0.973575644221408 8 rep1 rep2
2 0.995057420195682 0.975399742366162 15 rep1 rep2
2 0.998288687513887 0.97766021275919 14 rep1 rep2
2 0.996781204802004 0.977680257827315 12 rep1 rep2
2 0.998411006839555 0.978315154667537 6 rep1 rep2
2 0.99689213260729 0.978416050785233 20 rep1 rep2
2 0.996283907491347 0.98361095243367 17 rep1 rep2
2 0.998348860893517 0.984924999358055 19 rep1 rep2
