h corr scc chr cell_type1 cell_type2
2 0.99249144265975 0.523989055543316 18 rep2 NHEK
2 0.992755235198041 0.587805030773338 4 rep2 NHEK
2 0.990739265429813 0.615311319493189 21 rep2 NHEK
2 0.988959018706362 0.62788509701774 5 rep2 NHEK
2 0.991818663921562 0.641717969170899 3 rep2 NHEK
2 0.990719931594728 0.66221462625118 2 rep2 NHEK
2 0.992501616018091 0.6638009648416 X rep2 NHEK
2 0.989421886721052 0.68211751117625 20 rep2 NHEK
2 0.990730574205543 0.686459740522219 12 rep2 NHEK
2 0.992964414398859 0.690336854657555 13 rep2 NHEK
2 0.974542525293583 0.695122140949044 9 rep2 NHEK
2 0.347620870889983 0.697543455951859 11 rep2 NHEK
2 0.992740918103457 0.70745193844243 8 rep2 NHEK
2 0.544735343082735 0.720179304380894 6 rep2 NHEK
2 0.987773659433786 0.720914225883075 1 rep2 NHEK
2 0.545999534610206 0.725774798718329 22 rep2 NHEK
2 0.988678516289881 0.72609809707079 7 rep2 NHEK
2 0.987193426023646 0.729337717665193 10 rep2 NHEK
2 0.992787753828837 0.732210958441985 19 rep2 NHEK
2 0.544340081393084 0.736954110816736 14 rep2 NHEK
2 0.985092078732664 0.738462549446262 16 rep2 NHEK
2 0.984377612248115 0.749700051393789 15 rep2 NHEK
2 0.985877668515485 0.770173988288219 17 rep2 NHEK
