tracking_id	shCtrl-1_0	shCtrl-2_0	shU-1_0	shU-2_0	Gene_ID	Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Chromosome/scaffold name
ENSMUSG00000000001.4	82.0899	83.8773	126.027	119.414	ENSMUSG00000000001	ENSMUSG00000000001	108107280	108146146	Gnai3	3
ENSMUSG00000000003.9	0.0	0.0	0.0	0.0755935	ENSMUSG00000000003	ENSMUSG00000000003	77837901	77853623	Pbsn	X
ENSMUSG00000000028.8	3.9757800000000003	3.7048400000000004	2.0991400000000002	2.42987	ENSMUSG00000000028	ENSMUSG00000000028	18780447	18811987	Cdc45	16
ENSMUSG00000000031.9	0.29012	0.289964	0.14929800000000001	0.148403	ENSMUSG00000000031	ENSMUSG00000000031	142575529	142578143	H19	7
ENSMUSG00000000037.9	0.0	0.0	0.12281800000000001	0.0	ENSMUSG00000000037	ENSMUSG00000000037	161117193	161258213	Scml2	X
ENSMUSG00000000049.5	5.469469999999999	4.2045699999999995	0.219094	0.47382399999999997	ENSMUSG00000000049	ENSMUSG00000000049	108343354	108414396	Apoh	11
ENSMUSG00000000056.7	23.3408	21.6348	17.227	17.5553	ENSMUSG00000000056	ENSMUSG00000000056	121237253	121255856	Narf	11
ENSMUSG00000000058.6	47.9268	48.2485	55.1964	53.9654	ENSMUSG00000000058	ENSMUSG00000000058	17281185	17289115	Cav2	6
ENSMUSG00000000078.6	69.5897	70.9539	127.691	126.464	ENSMUSG00000000078	ENSMUSG00000000078	5861482	5870394	Klf6	13
ENSMUSG00000000085.9	2.93315	3.01991	2.46984	4.84921	ENSMUSG00000000085	ENSMUSG00000000085	120405281	120530186	Scmh1	4
ENSMUSG00000000088.6	63.6137	65.7543	303.92900000000003	289.33099999999996	ENSMUSG00000000088	ENSMUSG00000000088	57521274	57532426	Cox5a	9
ENSMUSG00000000093.6	0.0522584	0.0	0.0	0.0512082	ENSMUSG00000000093	ENSMUSG00000000093	85832551	85841948	Tbx2	11
ENSMUSG00000000094.6	0.0	0.0120839	0.0	0.0	ENSMUSG00000000094	ENSMUSG00000000094	85886422	85916097	Tbx4	11
ENSMUSG00000000103.6	0.0	0.0	0.0	0.0	ENSMUSG00000000103	ENSMUSG00000000103	2106015	2170409	Zfy2	Y
ENSMUSG00000000120.6	0.0	0.0102571	0.0108822	0.0	ENSMUSG00000000120	ENSMUSG00000000120	95568818	95587735	Ngfr	11
ENSMUSG00000000125.5	0.0	0.0	0.0	0.0	ENSMUSG00000000125	ENSMUSG00000000125	103774150	103817957	Wnt3	11
ENSMUSG00000000126.5	1.70443	1.5062799999999998	6.27839	6.86088	ENSMUSG00000000126	ENSMUSG00000000126	59306928	59333552	Wnt9a	11
ENSMUSG00000000127.7	11.6642	12.5945	13.448	12.2948	ENSMUSG00000000127	ENSMUSG00000000127	63896018	64139494	Fer	17
ENSMUSG00000000131.9	17.8064	21.4167	24.9379	30.0077	ENSMUSG00000000131	ENSMUSG00000000131	126101715	126200501	Xpo6	7
ENSMUSG00000000134.11	11.4909	11.5346	13.2443	16.6485	ENSMUSG00000000134	ENSMUSG00000000134	7762560	7775202	Tfe3	X
ENSMUSG00000000142.9	1.86907	1.17052	0.693207	0.344416	ENSMUSG00000000142	ENSMUSG00000000142	108920349	108950783	Axin2	11
ENSMUSG00000000148.10	12.7422	12.6002	14.0011	14.6998	ENSMUSG00000000148	ENSMUSG00000000148	140705011	140719379	Brat1	5
ENSMUSG00000000149.5	20.9678	21.6732	16.5868	16.3537	ENSMUSG00000000149	ENSMUSG00000000149	140758408	140830431	Gna12	5
ENSMUSG00000000154.8	22.4075	21.8414	16.5963	18.736	ENSMUSG00000000154	ENSMUSG00000000154	143473736	143499334	Slc22a18	7
ENSMUSG00000000157.8	0.359869	0.33537100000000003	0.219373	0.367148	ENSMUSG00000000157	ENSMUSG00000000157	96422288	96443619	Itgb2l	16
ENSMUSG00000000159.9	13.7076	13.1639	16.0674	15.0213	ENSMUSG00000000159	ENSMUSG00000000159	96361668	96525580	Igsf5	16
ENSMUSG00000000167.8	4.5926	4.49851	11.9996	11.3186	ENSMUSG00000000167	ENSMUSG00000000167	50617321	50625000	Pih1d2	9
ENSMUSG00000000168.3	34.9062	37.1975	27.9773	22.5919	ENSMUSG00000000168	ENSMUSG00000000168	50634633	50659780	Dlat	9
